表名,字段,中文意思,数据类型,字段类型,是否必填,键角色,来源字段/配置,HTML映射,备注
snapshot_meta,key,元数据键,文本,原始字段,是,主键组成,配置+业务确认,meta.*,
snapshot_meta,value,元数据值,文本,原始字段,是,普通字段,配置+业务确认,meta.*,
snapshot_meta,required,是否必填,布尔,原始字段,是,普通字段,配置+业务确认,meta.*,
snapshot_meta,source,来源,文本,原始字段,是,普通字段,配置+业务确认,meta.*,
snapshot_meta,description,说明,文本,原始字段,是,普通字段,配置+业务确认,meta.*,
channel_mapping,monthlyChannel,月报层渠道,文本,原始字段,否,主键组成,口径确认,跨层分析辅助,
channel_mapping,detailChannel,明细层渠道,文本,原始字段,否,主键组成,口径确认,跨层分析辅助,
channel_mapping,mappingType,映射类型,文本,原始字段,是,普通字段,口径确认,跨层分析辅助,
channel_mapping,status,状态,文本,原始字段,是,普通字段,口径确认,跨层分析辅助,
channel_mapping,rule,映射规则,文本,原始字段,是,普通字段,口径确认,跨层分析辅助,
channel_mapping,notes,备注,文本,原始字段,否,普通字段,口径确认,跨层分析辅助,
monthly_channel_metrics,month,月份,文本,原始字段,是,主键组成,01/02/03/04/13.month,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,channel,渠道,文本,原始字段,是,主键组成,01/02/03/04/13.channel,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,leads,线索量,整数,原始字段,否,普通字段,01/02/03/04/13.leads,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,funded,放款笔数,整数,原始字段,否,普通字段,01/02/03/04/13.funded,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,cpfl,单笔放款成本,数值,原始字段,否,普通字段,01/02/03/04/13.cpfl,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,green_pct,绿色占比,数值,原始字段,否,普通字段,01/02/03/04/13.green_pct,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,orange_pct,橙色占比,数值,原始字段,否,普通字段,01/02/03/04/13.orange_pct,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,red_pct,红色占比,数值,原始字段,否,普通字段,01/02/03/04/13.red_pct,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,na_pct,未判定占比,数值,原始字段,否,普通字段,01/02/03/04/13.na_pct,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,green_n,绿色样本数,整数,原始字段,否,普通字段,01/02/03/04/13.green_n,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,orange_n,橙色样本数,整数,原始字段,否,普通字段,01/02/03/04/13.orange_n,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,red_n,红色样本数,整数,原始字段,否,普通字段,01/02/03/04/13.red_n,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,na_n,未判定样本数,整数,原始字段,否,普通字段,01/02/03/04/13.na_n,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,quality_sample_n,质量判定样本总量,文本,加工字段,否,普通字段,01/02/03/04/13.quality_sample_n,加工分析；月度JSON仍由01~05生成,
monthly_channel_metrics,source_status,数据来源状态,文本,加工字段,是,普通字段,01/02/03/04/13.source_status,加工分析；月度JSON仍由01~05生成,
records,id,id,文本,原始字段,是,主键组成,06.id,records[].*,
records,userId,userId,文本,原始字段,是,普通字段,06.userId,records[].*,
records,applicationId,applicationId,文本,原始字段,否,普通字段,06.applicationId,records[].*,
records,loanId,loanId,文本,原始字段,否,普通字段,06.loanId,records[].*,
records,cohort,cohort,文本,原始字段,是,普通字段,06.cohort,records[].*,
records,channel,渠道,文本,原始字段,是,普通字段,06.channel,records[].*,
records,campaign,campaign,文本,原始字段,是,普通字段,06.campaign,records[].*,
records,brand,brand,文本,原始字段,是,普通字段,06.brand,records[].*,
records,customer,customer,文本,原始字段,是,普通字段,06.customer,records[].*,
records,region,region,文本,原始字段,是,普通字段,06.region,records[].*,
records,device,device,文本,原始字段,是,普通字段,06.device,records[].*,
records,product,product,文本,原始字段,是,普通字段,06.product,records[].*,
records,started,started,文本,原始字段,是,普通字段,06.started,records[].*,
records,submitted,submitted,文本,原始字段,否,普通字段,06.submitted,records[].*,
records,qualified,qualified,文本,原始字段,否,普通字段,06.qualified,records[].*,
records,approved,approved,文本,原始字段,否,普通字段,06.approved,records[].*,
records,funded,放款笔数,文本,原始字段,否,普通字段,06.funded,records[].*,
records,impressions,impressions,整数,原始字段,是,普通字段,06.impressions,records[].*,
records,clicks,clicks,整数,原始字段,是,普通字段,06.clicks,records[].*,
records,sessions,sessions,整数,原始字段,是,普通字段,06.sessions,records[].*,
records,loanAmount,loanAmount,整数,原始字段,是,普通字段,06.loanAmount,records[].*,
records,interest,interest,整数,原始字段,是,普通字段,06.interest,records[].*,
records,fees,fees,数值,原始字段,是,普通字段,06.fees,records[].*,
records,fundingCost,fundingCost,数值,原始字段,是,普通字段,06.fundingCost,records[].*,
records,servicingCost,servicingCost,整数,原始字段,是,普通字段,06.servicingCost,records[].*,
records,expectedLoss,expectedLoss,数值,原始字段,是,普通字段,06.expectedLoss,records[].*,
records,ltv,ltv,数值,原始字段,是,普通字段,06.ltv,records[].*,
records,fraud,fraud,布尔,原始字段,否,普通字段,06.fraud,records[].*,
records,firstDue,firstDue,文本,原始字段,否,普通字段,06.firstDue,records[].*,
records,m1bad,m1bad,布尔,原始字段,否,普通字段,06.m1bad,records[].*,
records,thirdDue,thirdDue,文本,原始字段,否,普通字段,06.thirdDue,records[].*,
records,m3bad,m3bad,布尔,原始字段,否,普通字段,06.m3bad,records[].*,
touches,recordId,recordId,文本,原始字段,是,主键组成,07.recordId,records[].touches[].*,
touches,id,id,文本,加工字段,是,主键组成,07.touchId,records[].touches[].*,
touches,day,day,文本,原始字段,是,普通字段,07.day,records[].touches[].*,
touches,channel,渠道,文本,原始字段,是,普通字段,07.channel,records[].touches[].*,
touches,campaign,campaign,文本,原始字段,是,普通字段,07.campaign,records[].touches[].*,
touches,brand,brand,文本,原始字段,是,普通字段,07.brand,records[].touches[].*,
touches,kind,kind,文本,原始字段,是,普通字段,07.kind,records[].touches[].*,
touches,consent,consent,布尔,原始字段,是,普通字段,07.consent,records[].touches[].*,
costs,recordId,recordId,文本,原始字段,是,主键组成,08.recordId,records[].costs[].*,
costs,channel,渠道,文本,原始字段,是,主键组成,08.channel,records[].costs[].*,
costs,campaign,campaign,文本,原始字段,是,主键组成,08.campaign,records[].costs[].*,
costs,amount,amount,数值,原始字段,是,普通字段,08.amount,records[].costs[].*,
postback_events,recordId,recordId,文本,原始字段,是,外键→records.id,09+14.recordId,postbacks[].*,
postback_events,businessKey,businessKey,文本,加工字段,是,主键组成,09+14.businessKey,postbacks[].*,
postback_events,eventId,eventId,文本,原始字段,是,普通字段,09+14.eventId,postbacks[].*,
postback_events,event,event,文本,原始字段,是,普通字段,09+14.event,postbacks[].*,
postback_events,day,day,文本,原始字段,是,普通字段,09+14.day,postbacks[].*,
