表名,字段,中文意思,定义（含公式）,数据样例,备注,字段类型,数据层,表粒度,键角色,HTML映射,接入方式
01_月度线索量_Leads_真实,month,月份,业务月份标识，格式 YYYY-MM（文本）,2023-10,看板按 month 对齐各月报趋势；日期基准（自然月/账单周期）待确认,原始字段,原始层-真实月报,month,主键组成,monthly-monitor-v1.sources[01].month,组装monthly-monitor-v1 JSON
01_月度线索量_Leads_真实,leads_Tiktok,TikTok 渠道线索量,当月 TikTok 渠道产生的线索数,136,计数口径（用户/申请、是否去重）待确认,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[01].leads_Tiktok,组装monthly-monitor-v1 JSON
01_月度线索量_Leads_真实,leads_GEO,GEO 应用商店线索量,当月应用商店（GEO）渠道线索数,1,计数口径待确认；真实月报层独有渠道，明细层无对应,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[01].leads_GEO,组装monthly-monitor-v1 JSON
01_月度线索量_Leads_真实,leads_Organic,自然流量线索量,当月自然（Organic）流量线索数,40583,计数口径待确认,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[01].leads_Organic,组装monthly-monitor-v1 JSON
01_月度线索量_Leads_真实,leads_Owned Channels,自有渠道线索量,当月自有渠道（推送/站内信/邮件）线索数,246,计数口径待确认；明细层近似对应 CRM，归属规则需确认,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[01].leads_Owned Channels,组装monthly-monitor-v1 JSON
01_月度线索量_Leads_真实,leads_Google,Google 渠道线索量,当月 Google（Search+PMax 合计）线索数,9832,计数口径待确认；明细层拆分为 Google Search 与 Google PMax,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[01].leads_Google,组装monthly-monitor-v1 JSON
01_月度线索量_Leads_真实,leads_Bing,Bing 渠道线索量,当月 Bing 渠道线索数,349,计数口径待确认；明细层 CH 无 Bing 渠道，导入前需决定归属,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[01].leads_Bing,组装monthly-monitor-v1 JSON
01_月度线索量_Leads_真实,leads_Lead Partner,线索合作方线索量,当月 Lead Partner 渠道线索数,4854,计数口径待确认；明细层近似对应 Affiliate，归属规则需确认,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[01].leads_Lead Partner,组装monthly-monitor-v1 JSON
01_月度线索量_Leads_真实,leads_Meta,Meta 渠道线索量,当月 Meta（Facebook/Instagram）线索数,228,计数口径待确认,原始字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[01].leads_Meta,组装monthly-monitor-v1 JSON
01_月度线索量_Leads_真实,leads_Total,全渠道线索总量,当月全部渠道线索合计；校验公式：leads_Total = Σ leads_<渠道>,55982,与 05 的 leads 指标同源参照；不当作申请量,加工字段,原始层-真实月报,month,普通字段,monthly-monitor-v1.sources[01].leads_Total,组装monthly-monitor-v1 JSON
